cells,Gen1,Gen2,Gen3,Gen 4,Gen 5
A342,2.00785343002263,2.00785343002263,0,0,0
A343,0,0,0,0,0
A344,0,4.03157938384363,2.00785343002263,6.07143081403291,0
A345,0,0,0,0,0
A346,0,1.0019582262109,0,0,0
A347,0,0,0,1.0019582262109,0
A348,0,1.0019582262109,0,0,0
A349,1.0019582262109,3.01771667252281,2.00785343002263,4.03157938384363,1.0019582262109
A350,0,0,0,0,0
A351,0,3.01771667252281,0,0,0
A352,0,0,0,0,0
A353,0,7.09748429180284,0,2.00785343002263,1.0019582262109
A354,1.0019582262109,4.03157938384363,3.01771667252281,3.01771667252281,1.0019582262109
A355,0,0,0,0,0
A356,0,0,0,0,0
A357,1.0019582262109,2.00785343002263,7.09748429180284,14.3973678906563,1.0019582262109
A358,1.0019582262109,2.00785343002263,1.0019582262109,0,0
A359,3.01771667252281,3.01771667252281,1.0019582262109,0,2.00785343002263
A360,0,1.0019582262109,0,0,0
A361,0,0,0,0,0
A362,0,0,0,0,0
A363,3.01771667252281,5.04947336903132,5.04947336903132,8.12766676853256,6.07143081403291
A364,0,0,0,0,0
A365,2.00785343002263,2.00785343002263,1.0019582262109,2.00785343002263,1.0019582262109
A366,0,0,0,0,0
A367,1.0019582262109,0,0,1.0019582262109,1.0019582262109
A368,0,0,0,0,0
A369,0,0,0,0,0
A370,1.0019582262109,1.0019582262109,0,1.0019582262109,0
A371,0,0,0,0,0
A372,0,0,0,0,0
A373,0,0,0,0,0
A374,0,0,0,0,2.00785343002263
A375,0,0,0,0,0
A376,0,0,0,0,0
A377,0,0,0,0,0
A378,1.0019582262109,0,0,0,0
A379,0,0,0,0,0
A380,0,0,0,0,0
A381,2.00785343002263,4.03157938384363,2.00785343002263,7.09748429180284,2.00785343002263
A382,0,0,1.0019582262109,0,1.0019582262109
A383,1.0019582262109,0,1.0019582262109,1.0019582262109,0
A384,0,1.0019582262109,0,2.00785343002263,0
A385,0,0,0,11.2433238873179,3.01771667252281
A386,0,0,0,0,1.0019582262109
A387,0,0,0,0,0
A388,0,1.0019582262109,1.0019582262109,4.03157938384363,1.0019582262109
A389,2.00785343002263,0,0,5.04947336903132,1.0019582262109
A390,1.0019582262109,4.03157938384363,1.0019582262109,2.00785343002263,1.0019582262109
A391,0,0,0,1.0019582262109,0
A392,0,0,0,3.01771667252281,0
A393,1.0019582262109,2.00785343002263,0,10.2005525880831,0
A394,0,0,1.0019582262109,1.0019582262109,2.00785343002263
A395,1.0019582262109,0,0,0,0
A396,0,0,0,0,0
A397,0,1.0019582262109,0,1.0019582262109,0
A398,0,0,0,0,5.04947336903132
A399,0,0,0,0,2.00785343002263
A400,0,0,0,0,2.00785343002263
A401,0,0,0,0,0
A402,0,0,0,0,0
A403,0,0,1.0019582262109,0,0
A404,0,0,0,0,0
A405,0,0,0,0,0
